Date,Revenue,Cost of Revenue,Gross Profit,EBITDA,Receivables,Total Current Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Other Long-Term Liabilities,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,Enterprise Value,PS Ratio,PB Ratio,P/OCF Ratio,Share-Based Compensation,Operating Cash Flow,Adj Close
2021-09-03,6723.131868131868,2357.2747252747254,4365.857142857143,2833.5604395604396,3719.4505494505493,25806.0,3632.8241758241757,13562.747252747253,39368.74725274726,1446.4065934065934,17260.395604395606,22108.351648351647,8.857142857142858,541121.8241758242,533903.4395604396,23.676813186813188,24.372527472527473,67.61494505494505,499.0879120879121,2260.252747252747,228.10751342773438
2021-09-07,6749.32967032967,2365.186813186813,4384.142857142857,2844.901098901099,3735.6263736263736,25806.0,3708.5604395604396,13649.868131868132,39455.868131868134,1452.5164835164835,17230.98901098901,22224.879120879123,8.902857142857142,547813.5604395604,540568.098901099,23.857032967032968,24.541318681318682,68.35736263736264,503.2197802197802,2209.131868131868,226.30006408691406
2021-09-08,6755.879120879121,2367.164835164835,4388.714285714285,2847.736263736264,3739.6703296703295,25806.0,3727.4945054945056,13671.648351648351,39477.64835164835,1454.043956043956,17223.637362637364,22254.01098901099,8.914285714285715,549486.4945054945,542234.2637362637,23.902087912087914,24.583516483516483,68.54296703296703,504.25274725274727,2196.3516483516482,223.07461547851562
2021-09-09,6762.428571428572,2369.1428571428573,4393.285714285715,2850.5714285714284,3743.714285714286,25806.0,3746.4285714285716,13693.42857142857,39499.42857142857,1455.5714285714287,17216.285714285714,22283.14285714286,8.925714285714285,551159.4285714285,543900.4285714285,23.947142857142858,24.625714285714285,68.72857142857143,505.2857142857143,2183.5714285714284,221.45689392089844
2021-09-10,6768.978021978022,2371.120879120879,4397.857142857143,2853.4065934065934,3747.7582417582416,25806.0,3765.3626373626375,13715.208791208792,39521.20879120879,1457.098901098901,17208.934065934067,22312.274725274725,8.937142857142858,552832.3626373627,545566.5934065934,23.992197802197804,24.66791208791209,68.91417582417583,506.31868131868134,2170.7912087912086,224.46266174316406
2021-09-13,6788.626373626374,2377.054945054945,4411.571428571428,2861.912087912088,3759.8901098901097,25806.0,3822.164835164835,13780.54945054945,39586.54945054945,1461.6813186813188,17186.879120879123,22399.67032967033,8.971428571428572,557851.1648351648,550565.0879120879,24.127362637362637,24.794505494505493,69.47098901098902,509.4175824175824,2132.4505494505493,221.20726013183594
2021-09-14,6795.175824175824,2379.032967032967,4416.142857142857,2864.747252747253,3763.934065934066,25806.0,3841.098901098901,13802.329670329671,39608.32967032967,1463.2087912087911,17179.527472527472,22428.802197802197,8.982857142857142,559524.098901099,552231.2527472528,24.172417582417584,24.8367032967033,69.6565934065934,510.45054945054943,2119.67032967033,222.10597229003906
2021-09-15,6801.725274725275,2381.010989010989,4420.714285714285,2867.5824175824177,3767.978021978022,25806.0,3860.032967032967,13824.10989010989,39630.10989010989,1464.7362637362637,17172.175824175825,22457.934065934067,8.994285714285715,561197.032967033,553897.4175824176,24.217472527472527,24.8789010989011,69.8421978021978,511.4835164835165,2106.8901098901097,223.09458923339844
2021-09-16,6808.274725274725,2382.989010989011,4425.285714285715,2870.4175824175823,3772.021978021978,25806.0,3878.967032967033,13845.89010989011,39651.89010989011,1466.2637362637363,17164.824175824175,22487.065934065933,9.005714285714285,562869.967032967,555563.5824175824,24.262527472527474,24.9210989010989,70.0278021978022,512.5164835164835,2094.1098901098903,222.10597229003906
2021-09-17,6814.824175824176,2384.967032967033,4429.857142857143,2873.252747252747,3776.065934065934,25806.0,3897.901098901099,13867.670329670329,39673.67032967033,1467.7912087912089,17157.472527472528,22516.197802197803,9.017142857142858,564542.901098901,557229.7472527473,24.307582417582417,24.963296703296702,70.21340659340659,513.5494505494505,2081.32967032967,218.6908416748047
2021-09-20,6834.472527472528,2390.901098901099,4443.571428571428,2881.7582417582416,3788.197802197802,25806.0,3954.7032967032965,13933.010989010989,39739.01098901099,1472.3736263736264,17135.417582417584,22603.593406593405,9.051428571428572,569561.7032967033,562228.2417582418,24.442747252747253,25.08989010989011,70.77021978021978,516.6483516483516,2042.989010989011,210.83192443847656
2021-09-21,6841.021978021978,2392.879120879121,4448.142857142857,2884.5934065934066,3792.2417582417584,25806.0,3973.6373626373625,13954.791208791208,39760.79120879121,1473.901098901099,17128.065934065933,22632.725274725275,9.062857142857142,571234.6373626373,563894.4065934066,24.487802197802196,25.13208791208791,70.95582417582418,517.6813186813187,2030.2087912087911,212.16004943847656
2021-09-22,6847.571428571428,2394.8571428571427,4452.714285714285,2887.4285714285716,3796.285714285714,25806.0,3992.5714285714284,13976.57142857143,39782.57142857143,1475.4285714285713,17120.714285714286,22661.85714285714,9.074285714285715,572907.5714285715,565560.5714285715,24.532857142857143,25.174285714285716,71.14142857142858,518.7142857142858,2017.4285714285713,219.10025024414062
2021-09-23,6854.120879120879,2396.835164835165,4457.285714285715,2890.263736263736,3800.32967032967,25806.0,4011.5054945054944,13998.351648351649,39804.35164835165,1476.956043956044,17113.362637362636,22690.98901098901,9.085714285714285,574580.5054945055,567226.7362637363,24.57791208791209,25.216483516483517,71.32703296703296,519.7472527472528,2004.6483516483518,224.50259399414062
2021-09-24,6860.67032967033,2398.813186813187,4461.857142857143,2893.098901098901,3804.3736263736264,25806.0,4030.4395604395604,14020.131868131868,39826.131868131866,1478.4835164835165,17106.01098901099,22720.120879120877,9.097142857142858,576253.4395604396,568892.901098901,24.622967032967033,25.25868131868132,71.51263736263736,520.7802197802198,1991.868131868132,220.4982452392578
2021-09-27,6880.318681318681,2404.747252747253,4475.571428571428,2901.6043956043954,3816.5054945054944,25806.0,4087.2417582417584,14085.472527472528,39891.47252747253,1483.065934065934,17083.956043956045,22807.516483516483,9.131428571428572,581272.2417582418,573891.3956043957,24.75813186813187,25.385274725274726,72.06945054945055,523.8791208791209,1953.5274725274726,216.29421997070312
2021-09-28,6886.868131868132,2406.7252747252746,4480.142857142857,2904.4395604395604,3820.5494505494507,25806.0,4106.175824175824,14107.252747252747,39913.25274725274,1484.5934065934066,17076.604395604394,22836.648351648353,9.142857142857142,582945.1758241758,575557.5604395604,24.803186813186812,25.427472527472528,72.25505494505495,524.9120879120879,1940.7472527472528,206.69778442382812
2021-09-29,6893.417582417583,2408.7032967032965,4484.714285714285,2907.2747252747254,3824.5934065934066,25806.0,4125.10989010989,14129.032967032967,39935.03296703297,1486.1208791208792,17069.252747252747,22865.78021978022,9.154285714285715,584618.1098901099,577223.7252747252,24.84824175824176,25.46967032967033,72.44065934065934,525.945054945055,1927.967032967033,204.88034057617188
2021-09-30,6899.9670329670325,2410.6813186813188,4489.285714285715,2910.1098901098903,3828.6373626373625,25806.0,4144.043956043956,14150.813186813186,39956.81318681319,1487.6483516483518,17061.9010989011,22894.91208791209,9.165714285714285,586291.0439560439,578889.8901098901,24.893296703296702,25.511868131868134,72.62626373626374,526.978021978022,1915.1868131868132,206.8675537109375
2021-10-01,6906.516483516483,2412.6593406593406,4493.857142857143,2912.945054945055,3832.6813186813188,25806.0,4162.978021978022,14172.593406593407,39978.593406593405,1489.1758241758241,17054.54945054945,22924.043956043955,9.177142857142858,587963.978021978,580556.0549450549,24.93835164835165,25.554065934065935,72.81186813186812,528.010989010989,1902.4065934065934,207.12718200683594
2021-10-04,6926.1648351648355,2418.5934065934066,4507.571428571428,2921.4505494505493,3844.813186813187,25806.0,4219.780219780219,14237.934065934067,40043.93406593407,1493.7582417582416,17032.494505494506,23011.43956043956,9.211428571428572,592982.7802197803,585554.5494505494,25.073516483516485,25.68065934065934,73.36868131868131,531.1098901098901,1864.065934065934,197.0414276123047
2021-10-05,6932.714285714285,2420.5714285714284,4512.142857142857,2924.285714285714,3848.8571428571427,25806.0,4238.714285714286,14259.714285714286,40065.71428571428,1495.2857142857142,17025.14285714286,23040.571428571428,9.222857142857142,594655.7142857143,587220.7142857143,25.11857142857143,25.722857142857144,73.55428571428571,532.1428571428571,1851.2857142857142,204.2212677001953
2021-10-06,6939.263736263736,2422.5494505494507,4516.714285714285,2927.120879120879,3852.901098901099,25806.0,4257.648351648351,14281.494505494506,40087.494505494506,1496.8131868131868,17017.79120879121,23069.703296703297,9.234285714285715,596328.6483516484,588886.8791208791,25.163626373626375,25.765054945054946,73.73989010989011,533.1758241758242,1838.5054945054944,206.70777893066406
