Date,Revenue,Gross Profit,Operating Income,Pretax Income,Net Income,Shares Outstanding (Diluted),EPS (Diluted),Free Cash Flow,EBITDA,EBIT,Adj Close
2013-10-17,41673.296703296706,15536.10989010989,11581.945054945056,11722.714285714286,8672.87912087912,25411.10989010989,0.34593406593406595,10321.296703296703,13664.296703296703,11805.923076923078,15.725105285644531
2013-10-18,41894.41758241758,15623.747252747253,11663.626373626374,11805.857142857143,8733.978021978022,25408.747252747253,0.34835164835164834,10464.417582417584,13751.417582417582,11889.076923076924,15.861937522888184
2013-10-21,42557.78021978022,15886.65934065934,11908.670329670329,12055.285714285714,8917.274725274725,25401.659340659342,0.3556043956043956,10893.78021978022,14012.78021978022,12138.538461538461,16.250625610351562
2013-10-22,42778.9010989011,15974.296703296703,11990.351648351649,12138.42857142857,8978.373626373626,25399.296703296703,0.358021978021978,11036.901098901099,14099.901098901099,12221.692307692309,16.20418357849121
2013-10-23,43000.02197802198,16061.934065934067,12072.032967032967,12221.571428571428,9039.472527472528,25396.934065934067,0.36043956043956044,11180.021978021978,14187.021978021978,12304.846153846154,16.362829208374023
2013-10-24,43221.142857142855,16149.57142857143,12153.714285714286,12304.714285714286,9100.57142857143,25394.571428571428,0.3628571428571429,11323.142857142857,14274.142857142857,12388.0,16.5794620513916
2013-10-25,43442.26373626373,16237.208791208792,12235.395604395604,12387.857142857143,9161.670329670329,25392.20879120879,0.36527472527472526,11466.263736263736,14361.263736263736,12471.153846153846,16.394001007080078
2013-10-28,44105.62637362637,16500.120879120877,12480.439560439561,12637.285714285714,9344.967032967033,25385.120879120877,0.37252747252747254,11895.626373626374,14622.626373626374,12720.615384615385,16.516189575195312
2013-10-29,44326.74725274726,16587.75824175824,12562.12087912088,12720.42857142857,9406.065934065935,25382.75824175824,0.3749450549450549,12038.747252747253,14709.747252747253,12803.76923076923,16.104751586914062
2013-10-30,44547.868131868134,16675.395604395606,12643.802197802197,12803.571428571428,9467.164835164835,25380.395604395606,0.37736263736263737,12181.868131868132,14796.868131868132,12886.923076923078,16.360965728759766
2013-10-31,44768.98901098901,16763.032967032967,12725.483516483517,12886.714285714286,9528.263736263736,25378.032967032967,0.3797802197802198,12324.989010989011,14883.989010989011,12970.076923076924,16.292390823364258
2013-11-01,44990.10989010989,16850.67032967033,12807.164835164836,12969.857142857143,9589.362637362638,25375.67032967033,0.3821978021978022,12468.10989010989,14971.10989010989,13053.23076923077,16.209163665771484
2013-11-04,45653.47252747253,17113.582417582416,13052.208791208792,13219.285714285714,9772.65934065934,25368.582417582416,0.38945054945054947,12897.472527472528,15232.472527472528,13302.692307692309,16.418622970581055
2013-11-05,45874.593406593405,17201.21978021978,13133.89010989011,13302.42857142857,9833.758241758242,25366.21978021978,0.39186813186813185,13040.593406593407,15319.593406593407,13385.846153846154,16.37810516357422
2013-11-06,46095.71428571429,17288.857142857145,13215.57142857143,13385.571428571428,9894.857142857143,25363.85714285714,0.3942857142857143,13183.714285714286,15406.714285714286,13469.0,16.331707000732422
2013-11-07,46316.83516483517,17376.494505494506,13297.252747252747,13468.714285714286,9955.956043956045,25361.494505494506,0.39670329670329674,13326.835164835165,15493.835164835165,13552.153846153848,16.067413330078125
2013-11-08,46537.956043956045,17464.13186813187,13378.934065934067,13551.857142857143,10017.054945054944,25359.13186813187,0.3991208791208791,13469.956043956045,15580.956043956045,13635.307692307691,16.320415496826172
2013-11-11,47201.318681318684,17727.043956043955,13623.978021978022,13801.285714285714,10200.351648351649,25352.043956043955,0.4063736263736264,13899.31868131868,15842.31868131868,13884.76923076923,16.273082733154297
2013-11-12,47422.43956043956,17814.68131868132,13705.659340659342,13884.42857142857,10261.45054945055,25349.68131868132,0.4087912087912088,14042.439560439561,15929.439560439561,13967.923076923078,16.303180694580078
2013-11-13,47643.56043956044,17902.31868131868,13787.34065934066,13967.571428571428,10322.54945054945,25347.31868131868,0.4112087912087912,14185.560439560439,16016.560439560439,14051.076923076924,16.322614669799805
2013-11-14,47864.68131868132,17989.956043956045,13869.021978021978,14050.714285714286,10383.648351648351,25344.956043956045,0.41362637362637367,14328.68131868132,16103.68131868132,14134.23076923077,16.558692932128906
2013-11-15,48085.8021978022,18077.593406593405,13950.703296703297,14133.857142857143,10444.747252747253,25342.593406593405,0.41604395604395605,14471.802197802197,16190.802197802197,14217.384615384615,16.459306716918945
2013-11-18,48749.16483516483,18340.505494505494,14195.747252747253,14383.285714285714,10628.043956043955,25335.505494505494,0.4232967032967033,14901.164835164836,16452.164835164836,14466.846153846154,16.259916305541992
2013-11-19,48970.28571428571,18428.14285714286,14277.428571428572,14466.428571428572,10689.142857142857,25333.14285714286,0.4257142857142857,15044.285714285714,16539.285714285714,14550.0,16.28875160217285
2013-11-20,49191.406593406595,18515.78021978022,14359.10989010989,14549.571428571428,10750.241758241758,25330.78021978022,0.42813186813186815,15187.406593406595,16626.406593406595,14633.153846153848,16.14610481262207
2013-11-21,49412.52747252747,18603.417582417584,14440.791208791208,14632.714285714286,10811.34065934066,25328.417582417584,0.4305494505494506,15330.527472527472,16713.527472527472,14716.307692307691,16.33860969543457
2013-11-22,49633.64835164835,18691.054945054944,14522.472527472528,14715.857142857141,10872.439560439561,25326.054945054944,0.432967032967033,15473.648351648353,16800.648351648353,14799.461538461539,16.296594619750977
2013-11-25,50297.01098901099,18953.967032967033,14767.516483516483,14965.285714285714,11055.736263736264,25318.967032967033,0.44021978021978025,15903.010989010989,17062.01098901099,15048.923076923078,16.42011833190918
2013-11-26,50518.131868131866,19041.604395604394,14849.197802197803,15048.428571428572,11116.835164835165,25316.604395604394,0.44263736263736264,16046.131868131868,17149.131868131866,15132.076923076924,16.72297477722168
2013-11-27,50739.25274725274,19129.24175824176,14930.87912087912,15131.571428571428,11177.934065934067,25314.24175824176,0.4450549450549451,16189.252747252747,17236.252747252747,15215.23076923077,17.116748809814453
2013-11-29,51181.494505494506,19304.516483516483,15094.241758241758,15297.857142857141,11300.131868131868,25309.516483516483,0.4498901098901099,16475.494505494506,17410.494505494506,15381.538461538461,17.433717727661133
2013-12-02,51844.857142857145,19567.428571428572,15339.285714285714,15547.285714285714,11483.428571428572,25302.428571428572,0.4571428571428572,16904.857142857145,17671.857142857145,15631.0,17.281980514526367
2013-12-03,52065.97802197802,19655.065934065933,15420.967032967033,15630.428571428572,11544.527472527472,25300.065934065933,0.45956043956043957,17047.978021978022,17758.978021978022,15714.153846153848,17.75507354736328
2013-12-04,52287.0989010989,19742.703296703297,15502.648351648353,15713.571428571428,11605.626373626374,25297.703296703297,0.46197802197802196,17191.0989010989,17846.0989010989,15797.307692307691,17.71368980407715
2013-12-05,52508.21978021978,19830.34065934066,15584.329670329671,15796.714285714286,11666.725274725275,25295.340659340658,0.4643956043956044,17334.21978021978,17933.21978021978,15880.461538461539,17.804611206054688
2013-12-06,52729.34065934066,19917.978021978022,15666.010989010989,15879.857142857141,11727.824175824175,25292.978021978022,0.46681318681318684,17477.34065934066,18020.34065934066,15963.615384615385,17.557558059692383
2013-12-09,53392.7032967033,20180.89010989011,15911.054945054944,16129.285714285714,11911.12087912088,25285.89010989011,0.4740659340659341,17906.703296703297,18281.703296703297,16213.076923076924,17.75851821899414
2013-12-10,53613.82417582418,20268.527472527472,15992.736263736264,16212.428571428572,11972.21978021978,25283.527472527472,0.4764835164835165,18049.82417582418,18368.824175824175,16296.23076923077,17.730934143066406
2013-12-11,53834.945054945056,20356.164835164836,16074.417582417584,16295.571428571428,12033.31868131868,25281.164835164836,0.4789010989010989,18192.945054945056,18455.945054945056,16379.384615384617,17.599565505981445
2013-12-12,54056.06593406593,20443.802197802197,16156.098901098901,16378.714285714286,12094.417582417584,25278.802197802197,0.48131868131868133,18336.065934065933,18543.065934065933,16462.53846153846,17.573862075805664
2013-12-13,54277.18681318681,20531.43956043956,16237.78021978022,16461.85714285714,12155.516483516483,25276.43956043956,0.48373626373626377,18479.186813186814,18630.186813186814,16545.69230769231,17.382305145263672
