Date,Adj Close,2-year,5-year,10-year,T10Y2Y,VIXCLS,STLFSI3
2014-06-04,13.599332809448242,0.41,1.65,2.61,2.2,12.08,
2014-06-05,13.793333053588867,0.4,1.63,2.59,2.19,11.68,
2014-06-06,13.878000259399414,0.41,1.66,2.6,2.19,10.73,-0.9223
2014-06-09,13.687333106994629,0.43,1.69,2.62,2.19,11.15,
2014-06-10,13.486666679382324,0.45,1.71,2.64,2.19,10.99,
2014-06-11,13.631333351135254,0.44,1.7,2.65,2.21,11.6,
2014-06-12,13.567999839782715,0.42,1.66,2.58,2.16,12.56,
2014-06-13,13.761333465576172,0.45,1.7,2.6,2.15,12.18,-0.8638
2014-06-16,14.973999977111816,0.49,1.71,2.61,2.12,12.65,
2014-06-17,15.444666862487793,0.51,1.77,2.66,2.15,12.06,
2014-06-18,15.141332626342773,0.48,1.71,2.61,2.13,10.61,
2014-06-19,15.185999870300293,0.48,1.71,2.64,2.16,10.62,
2014-06-20,15.305999755859375,0.5,1.71,2.63,2.13,10.85,-0.876
2014-06-23,15.814666748046875,0.48,1.72,2.63,2.15,10.98,
2014-06-24,15.5,0.49,1.7,2.59,2.1,12.13,
2014-06-25,15.792667388916016,0.48,1.68,2.57,2.09,11.59,
2014-06-26,15.706666946411133,0.46,1.64,2.53,2.07,11.63,
2014-06-27,15.937333106994629,0.45,1.64,2.54,2.09,11.26,-0.7736
2014-06-30,16.003999710083008,0.47,1.62,2.53,2.06,11.57,
2014-07-01,15.981332778930664,0.47,1.66,2.58,2.11,11.15,
2014-07-02,15.295332908630371,0.49,1.71,2.64,2.15,10.82,
2014-07-03,15.283332824707031,0.52,1.74,2.65,2.13,10.32,
2014-07-07,14.843999862670898,0.52,1.74,2.63,2.11,11.33,
2014-07-08,14.604666709899902,0.51,1.7,2.58,2.07,11.98,
2014-07-09,14.870667457580566,0.51,1.68,2.57,2.06,11.65,
2014-07-10,14.630666732788086,0.46,1.66,2.55,2.09,12.59,
2014-07-11,14.541999816894531,0.48,1.65,2.53,2.05,12.08,-0.7334
2014-07-14,15.113332748413086,0.48,1.68,2.55,2.07,11.82,
2014-07-15,14.638667106628418,0.49,1.7,2.56,2.07,11.96,
2014-07-16,14.477333068847656,0.5,1.71,2.55,2.05,11.0,
2014-07-17,14.359999656677246,0.47,1.65,2.47,2.0,14.54,
2014-07-18,14.668000221252441,0.51,1.69,2.5,1.99,12.06,-0.6744
2014-07-21,14.702667236328125,0.51,1.7,2.49,1.98,12.81,
2014-07-22,14.638667106628418,0.49,1.68,2.48,1.99,12.24,
2014-07-23,14.832667350769043,0.5,1.67,2.48,1.98,11.52,
2014-07-24,14.902667045593262,0.53,1.72,2.52,1.99,11.84,
2014-07-25,14.904666900634766,0.53,1.69,2.48,1.95,12.69,-0.6899
2014-07-28,14.98799991607666,0.54,1.73,2.5,1.96,12.56,
2014-07-29,15.000666618347168,0.54,1.7,2.47,1.93,13.28,
2014-07-30,15.261333465576172,0.56,1.77,2.57,2.01,13.33,
2014-07-31,14.886667251586914,0.53,1.76,2.58,2.05,16.95,
2014-08-01,15.5513334274292,0.47,1.67,2.52,2.05,17.03,-0.6532
2014-08-04,15.90133285522461,0.47,1.66,2.51,2.04,15.12,
2014-08-05,15.899333000183105,0.47,1.66,2.49,2.02,16.87,
2014-08-06,16.595333099365234,0.48,1.66,2.49,2.01,16.37,
2014-08-07,16.826000213623047,0.44,1.6,2.43,1.99,16.66,
2014-08-08,16.54199981689453,0.45,1.62,2.44,1.99,15.77,-0.4101
2014-08-11,17.288000106811523,0.47,1.62,2.44,1.97,14.23,
2014-08-12,17.33066749572754,0.45,1.63,2.46,2.01,14.13,
2014-08-13,17.354000091552734,0.43,1.59,2.43,2.0,12.9,
2014-08-14,17.42533302307129,0.42,1.58,2.4,1.98,12.42,
2014-08-15,17.46733283996582,0.42,1.55,2.34,1.92,13.15,-0.6617
2014-08-18,17.32933235168457,0.44,1.58,2.39,1.95,12.32,
2014-08-19,17.117332458496094,0.46,1.59,2.4,1.94,12.21,
2014-08-20,17.047332763671875,0.49,1.65,2.43,1.94,11.78,
2014-08-21,16.95599937438965,0.49,1.64,2.41,1.92,11.76,
2014-08-22,17.118667602539062,0.53,1.68,2.4,1.87,11.47,-0.7683
2014-08-25,17.503332138061523,0.53,1.69,2.39,1.86,11.7,
2014-08-26,17.44933319091797,0.52,1.68,2.39,1.87,11.63,
2014-08-27,17.549999237060547,0.51,1.65,2.37,1.86,11.78,
2014-08-28,17.590667724609375,0.5,1.63,2.34,1.84,12.05,
2014-08-29,17.979999542236328,0.48,1.63,2.35,1.87,11.98,-0.6548
2014-09-02,18.941333770751953,0.53,1.69,2.42,1.89,12.25,
2014-09-03,18.746000289916992,0.52,1.69,2.41,1.89,12.36,
2014-09-04,19.069332122802734,0.54,1.71,2.45,1.91,12.64,
2014-09-05,18.492666244506836,0.52,1.69,2.46,1.94,12.09,-0.726
2014-09-08,18.80733299255371,0.54,1.72,2.48,1.94,12.66,
2014-09-09,18.565332412719727,0.56,1.76,2.5,1.94,13.5,
2014-09-10,18.739999771118164,0.58,1.79,2.54,1.96,12.88,
2014-09-11,18.687332153320312,0.58,1.79,2.54,1.96,12.8,
2014-09-12,18.613332748413086,0.58,1.83,2.62,2.04,13.31,-0.657
2014-09-15,16.923999786376953,0.58,1.8,2.6,2.02,14.12,
2014-09-16,17.382667541503906,0.55,1.78,2.6,2.05,12.73,
2014-09-17,17.42533302307129,0.59,1.82,2.62,2.03,12.65,
2014-09-18,17.58799934387207,0.59,1.85,2.63,2.04,12.03,
2014-09-19,17.288000106811523,0.59,1.83,2.59,2.0,12.11,-0.6441
2014-09-22,16.66866683959961,0.58,1.8,2.57,1.99,13.69,
2014-09-23,16.694000244140625,0.57,1.78,2.54,1.97,14.93,
2014-09-24,16.80933380126953,0.59,1.82,2.57,1.98,13.27,
2014-09-25,16.463333129882812,0.56,1.75,2.52,1.96,15.64,
2014-09-26,16.440000534057617,0.59,1.8,2.54,1.95,14.85,-0.3208
2014-09-29,16.35066795349121,0.58,1.77,2.5,1.92,15.98,
2014-09-30,16.178667068481445,0.58,1.78,2.52,1.94,16.31,
2014-10-01,16.016000747680664,0.53,1.69,2.42,1.89,16.71,
2014-10-02,16.761333465576172,0.53,1.7,2.44,1.91,16.16,
2014-10-03,17.013999938964844,0.57,1.73,2.45,1.88,14.55,-0.28
2014-10-06,17.374666213989258,0.54,1.7,2.43,1.89,15.46,
2014-10-07,17.30466651916504,0.52,1.64,2.36,1.84,17.2,
2014-10-08,17.28533363342285,0.46,1.57,2.35,1.89,15.11,
2014-10-09,17.134000778198242,0.46,1.58,2.34,1.88,18.76,
2014-10-10,15.793999671936035,0.45,1.55,2.31,1.86,21.24,-0.2124
2014-10-13,14.97266674041748,,,,1.86,24.64,
2014-10-14,15.137332916259766,0.39,1.45,2.21,1.82,22.79,
2014-10-15,15.313332557678223,0.34,1.37,2.15,1.81,26.25,
2014-10-16,15.09000015258789,0.35,1.39,2.17,1.82,25.2,
2014-10-17,15.165332794189453,0.39,1.44,2.22,1.83,21.99,0.2901
2014-10-20,15.364666938781738,0.37,1.41,2.2,1.83,18.57,
2014-10-21,15.689332962036133,0.38,1.44,2.23,1.85,16.08,
2014-10-22,15.40666675567627,0.41,1.46,2.25,1.84,17.87,
2014-10-23,15.685999870300293,0.41,1.52,2.29,1.88,16.53,
2014-10-24,15.682666778564453,0.41,1.52,2.29,1.88,16.11,-0.5236
2014-10-27,14.777999877929688,0.41,1.51,2.27,1.86,16.04,
2014-10-28,16.184667587280273,0.42,1.53,2.3,1.88,14.39,
2014-10-29,15.873332977294922,0.48,1.61,2.34,1.86,15.15,
2014-10-30,15.910667419433594,0.48,1.58,2.32,1.84,14.52,
2014-10-31,16.113332748413086,0.5,1.62,2.35,1.85,14.03,-0.5545
2014-11-03,16.172666549682617,0.52,1.63,2.36,1.84,14.73,
2014-11-04,15.928667068481445,0.52,1.63,2.35,1.83,14.89,
2014-11-05,15.39799976348877,0.52,1.63,2.36,1.84,14.17,
2014-11-06,16.08133316040039,0.54,1.67,2.39,1.85,13.67,
2014-11-07,16.01333236694336,0.51,1.6,2.32,1.81,13.12,-0.5247
2014-11-10,16.1286678314209,0.55,1.65,2.38,1.83,12.67,
2014-11-11,16.738666534423828,,,,1.83,12.92,
2014-11-12,16.606666564941406,0.55,1.65,2.37,1.82,13.02,
2014-11-13,16.780000686645508,0.53,1.64,2.35,1.82,13.79,
2014-11-14,17.245332717895508,0.54,1.62,2.32,1.78,13.31,-0.4785
2014-11-17,16.93199920654297,0.54,1.64,2.34,1.8,13.99,
2014-11-18,17.18000030517578,0.53,1.63,2.32,1.79,13.86,
2014-11-19,16.516000747680664,0.54,1.66,2.36,1.82,13.96,
2014-11-20,16.58066749572754,0.53,1.64,2.34,1.81,13.58,
2014-11-21,16.185333251953125,0.53,1.63,2.31,1.78,12.9,-0.3023
2014-11-24,16.447999954223633,0.53,1.62,2.3,1.77,12.62,
2014-11-25,16.53933334350586,0.51,1.58,2.27,1.76,12.25,
2014-11-26,16.562667846679688,0.53,1.56,2.24,1.71,12.07,
2014-11-28,16.301332473754883,0.47,1.49,2.18,1.71,13.33,-0.3268
2014-12-01,15.442667007446289,0.49,1.52,2.22,1.73,14.29,
2014-12-02,15.428667068481445,0.55,1.59,2.28,1.73,12.85,
2014-12-03,15.286666870117188,0.57,1.61,2.29,1.72,12.47,
2014-12-04,15.218667030334473,0.55,1.59,2.25,1.7,12.38,
2014-12-05,14.913999557495117,0.65,1.69,2.31,1.66,11.82,-0.3446
2014-12-08,14.290666580200195,0.64,1.67,2.26,1.62,14.21,
2014-12-09,14.459333419799805,0.64,1.63,2.22,1.58,14.89,
2014-12-10,13.989333152770996,0.59,1.58,2.18,1.59,18.53,
2014-12-11,13.925333023071289,0.62,1.62,2.19,1.57,20.08,
2014-12-12,13.800000190734863,0.56,1.53,2.1,1.54,21.08,0.0151
2014-12-15,13.602666854858398,0.6,1.58,2.12,1.52,20.42,
2014-12-16,13.187333106994629,0.58,1.53,2.07,1.49,23.57,
2014-12-17,13.721332550048828,0.62,1.61,2.14,1.52,19.44,
2014-12-18,14.550666809082031,0.67,1.68,2.22,1.55,16.81,
2014-12-19,14.619333267211914,0.67,1.66,2.17,1.5,16.49,0.0958
2014-12-22,14.84000015258789,0.71,1.67,2.17,1.46,15.25,
2014-12-23,14.731332778930664,0.73,1.76,2.26,1.53,14.8,
2014-12-24,14.817333221435547,0.73,1.76,2.27,1.54,14.37,
2014-12-26,15.187999725341797,0.73,1.75,2.25,1.52,14.5,-0.5393
2014-12-29,15.047332763671875,0.72,1.72,2.22,1.5,15.06,
2014-12-30,14.815333366394043,0.69,1.68,2.2,1.51,15.92,
2014-12-31,14.827333450317383,0.67,1.65,2.17,1.5,19.2,
2015-01-02,14.620667457580566,0.66,1.61,2.12,1.46,17.79,-0.0453
2015-01-05,14.005999565124512,0.68,1.57,2.04,1.36,19.92,
2015-01-06,14.085332870483398,0.65,1.5,1.97,1.32,21.12,
2015-01-07,14.063332557678223,0.62,1.47,1.96,1.34,19.31,
2015-01-08,14.041333198547363,0.62,1.5,2.03,1.41,17.01,
2015-01-09,13.77733325958252,0.59,1.45,1.98,1.39,17.55,0.3196
2015-01-12,13.480667114257812,0.56,1.39,1.92,1.36,19.6,
2015-01-13,13.616666793823242,0.54,1.37,1.91,1.37,20.56,
2015-01-14,12.845999717712402,0.51,1.33,1.86,1.35,21.48,
2015-01-15,12.791333198547363,0.44,1.22,1.77,1.33,22.39,
2015-01-16,12.871333122253418,0.49,1.29,1.83,1.34,20.95,0.3011
2015-01-20,12.795332908630371,0.53,1.31,1.82,1.29,19.89,
2015-01-21,13.104666709899902,0.53,1.35,1.87,1.34,18.85,
2015-01-22,13.441332817077637,0.53,1.39,1.9,1.37,16.4,
2015-01-23,13.419333457946777,0.52,1.33,1.81,1.29,16.66,0.0034
2015-01-26,13.770000457763672,0.54,1.36,1.83,1.29,15.52,
2015-01-27,13.732000350952148,0.54,1.34,1.83,1.29,17.22,
2015-01-28,13.291333198547363,0.5,1.25,1.73,1.23,20.44,
2015-01-29,13.680000305175781,0.51,1.28,1.77,1.26,18.76,
2015-01-30,13.573332786560059,0.47,1.18,1.68,1.21,20.97,0.1019
2015-02-02,14.062666893005371,0.49,1.19,1.68,1.19,19.43,
2015-02-03,14.557332992553711,0.52,1.28,1.79,1.27,17.33,
2015-02-04,14.569999694824219,0.52,1.29,1.81,1.29,18.33,
2015-02-05,14.732666969299316,0.52,1.3,1.83,1.31,16.85,
2015-02-06,14.490667343139648,0.65,1.48,1.95,1.3,17.29,-0.2192
2015-02-09,14.498666763305664,0.65,1.49,1.96,1.31,18.55,
2015-02-10,14.419333457946777,0.67,1.52,2.01,1.34,17.23,
2015-02-11,14.186667442321777,0.67,1.53,2.0,1.33,16.96,
2015-02-12,13.525333404541016,0.61,1.5,1.99,1.38,15.34,
2015-02-13,13.584667205810547,0.66,1.53,2.02,1.36,14.69,-0.4442
2015-02-17,13.623332977294922,0.7,1.62,2.14,1.44,15.8,
2015-02-18,13.630666732788086,0.62,1.52,2.07,1.45,15.45,
2015-02-19,14.11400032043457,0.67,1.58,2.11,1.44,15.29,
2015-02-20,14.473999977111816,0.67,1.61,2.13,1.46,14.3,-0.3474
2015-02-23,13.822667121887207,0.64,1.56,2.06,1.42,14.56,
2015-02-24,13.607333183288574,0.6,1.47,1.99,1.39,13.69,
2015-02-25,13.583999633789062,0.61,1.47,1.96,1.35,13.84,
2015-02-26,13.812666893005371,0.66,1.54,2.03,1.37,13.91,
2015-02-27,13.555999755859375,0.63,1.5,2.0,1.37,13.34,-0.115
2015-03-02,13.155332565307617,0.66,1.57,2.08,1.42,13.04,
2015-03-03,13.303999900817871,0.68,1.61,2.12,1.44,13.86,
2015-03-04,13.496000289916992,0.66,1.6,2.12,1.46,14.23,
2015-03-05,13.375332832336426,0.65,1.57,2.11,1.46,14.04,
2015-03-06,12.925333023071289,0.73,1.7,2.24,1.51,15.2,-0.4009
2015-03-09,12.725333213806152,0.7,1.66,2.2,1.5,15.06,
2015-03-10,12.687999725341797,0.7,1.62,2.14,1.44,16.69,
2015-03-11,12.916000366210938,0.7,1.6,2.11,1.41,16.87,
2015-03-12,12.73799991607666,0.67,1.59,2.1,1.43,15.42,
2015-03-13,12.578666687011719,0.68,1.6,2.13,1.45,16.0,-0.1199
2015-03-16,13.046667098999023,0.66,1.57,2.1,1.44,15.61,
2015-03-17,12.982000350952148,0.7,1.56,2.06,1.36,15.66,
2015-03-18,13.380666732788086,0.57,1.41,1.93,1.36,13.97,
2015-03-19,13.043333053588867,0.63,1.48,1.98,1.35,14.07,
2015-03-20,13.20533275604248,0.6,1.42,1.93,1.33,13.02,-0.0136
2015-03-23,13.308667182922363,0.6,1.41,1.92,1.32,13.41,
2015-03-24,13.447999954223633,0.58,1.37,1.88,1.3,13.62,
2015-03-25,12.953332901000977,0.59,1.41,1.93,1.34,15.44,
2015-03-26,12.694000244140625,0.61,1.47,2.01,1.4,15.8,
2015-03-27,12.333333015441895,0.58,1.42,1.95,1.37,15.07,-0.1395
2015-03-30,12.704667091369629,0.58,1.41,1.96,1.38,14.51,
