Date,Net Income,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Adj Close
2018-07-24,12206.296703296703,15815.912087912087,2114.5604395604396,-29164.406593406595,-11233.934065934067,46.04914855957031
2018-07-25,12234.934065934067,15871.241758241758,2038.2087912087914,-29066.131868131866,-11156.681318681318,46.4833984375
2018-07-26,12263.57142857143,15926.571428571428,1961.857142857143,-28967.857142857145,-11079.42857142857,46.33786010742188
2018-07-27,12292.208791208792,15981.901098901099,1885.5054945054944,-28869.582417582416,-11002.175824175823,45.56718063354492
2018-07-30,12378.12087912088,16147.89010989011,1656.4505494505493,-28574.75824175824,-10770.417582417582,45.31188201904297
2018-07-31,12406.758241758242,16203.21978021978,1580.098901098901,-28476.483516483517,-10693.164835164835,45.40254974365234
2018-08-01,12435.395604395604,16258.54945054945,1503.7472527472528,-28378.20879120879,-10615.912087912087,48.07722473144531
2018-08-02,12464.032967032967,16313.87912087912,1427.3956043956046,-28279.934065934067,-10538.65934065934,49.482547760009766
2018-08-03,12492.670329670329,16369.208791208792,1351.0439560439563,-28181.659340659342,-10461.406593406593,49.62571334838867
2018-08-06,12578.582417582418,16535.197802197803,1121.9890109890111,-27886.835164835164,-10229.648351648351,49.883392333984375
2018-08-07,12607.21978021978,16590.527472527472,1045.6373626373625,-27788.56043956044,-10152.395604395604,49.41574478149414
2018-08-08,12635.857142857143,16645.85714285714,969.2857142857142,-27690.285714285714,-10075.142857142857,49.44915008544922
2018-08-09,12664.494505494506,16701.186813186814,892.934065934066,-27592.01098901099,-9997.89010989011,49.83806610107422
2018-08-10,12693.131868131868,16756.516483516483,816.5824175824177,-27493.736263736264,-9920.637362637362,49.68961715698242
2018-08-13,12779.043956043955,16922.505494505494,587.5274725274726,-27198.91208791209,-9688.87912087912,50.01045608520508
2018-08-14,12807.68131868132,16977.835164835164,511.17582417582435,-27100.63736263736,-9611.626373626374,50.22114562988281
2018-08-15,12836.318681318682,17033.164835164836,434.82417582417565,-27002.36263736264,-9534.373626373626,50.33849334716797
2018-08-16,12864.956043956045,17088.494505494506,358.4725274725274,-26904.08791208791,-9457.12087912088,51.07594299316406
2018-08-17,12893.593406593407,17143.824175824175,282.1208791208792,-26805.813186813186,-9379.868131868132,52.095924377441406
2018-08-20,12979.505494505494,17309.813186813186,53.065934065934016,-26510.98901098901,-9148.10989010989,51.588321685791016
2018-08-21,13008.142857142857,17365.142857142855,-23.28571428571422,-26412.714285714286,-9070.857142857143,51.48775863647461
2018-08-22,13036.78021978022,17420.472527472528,-99.63736263736246,-26314.43956043956,-8993.604395604396,51.49016189575195
2018-08-23,13065.417582417582,17475.802197802197,-175.98901098901115,-26216.164835164836,-8916.351648351647,51.595516204833984
2018-08-24,13094.054945054944,17531.131868131866,-252.34065934065893,-26117.89010989011,-8839.0989010989,51.75592803955078
2018-08-27,13179.967032967033,17697.120879120877,-481.3956043956041,-25823.065934065933,-8607.340659340658,52.18211364746094
2018-08-28,13208.604395604396,17752.45054945055,-557.7472527472528,-25724.79120879121,-8530.08791208791,52.60351943969727
2018-08-29,13237.241758241758,17807.78021978022,-634.0989010989015,-25626.516483516483,-8452.835164835164,53.38886642456055
2018-08-30,13265.87912087912,17863.10989010989,-710.4505494505493,-25528.24175824176,-8375.582417582416,53.87969970703125
2018-08-31,13294.516483516483,17918.43956043956,-786.802197802198,-25429.967032967033,-8298.32967032967,54.50223159790039
2018-09-04,13409.065934065935,18139.75824175824,-1092.208791208791,-25036.868131868134,-7989.318681318681,54.6770133972168
2018-09-05,13437.703296703297,18195.08791208791,-1168.5604395604396,-24938.593406593405,-7912.065934065934,54.32025909423828
2018-09-06,13466.34065934066,18250.417582417584,-1244.9120879120874,-24840.31868131868,-7834.813186813187,53.41759490966797
2018-09-07,13494.978021978022,18305.747252747253,-1321.263736263736,-24742.043956043955,-7757.56043956044,52.986610412597656
2018-09-10,13580.89010989011,18471.736263736264,-1550.3186813186812,-24447.21978021978,-7525.802197802198,52.27549362182617
2018-09-11,13609.527472527472,18527.065934065933,-1626.67032967033,-24348.945054945056,-7448.549450549451,53.59716796875
2018-09-12,13638.164835164835,18582.395604395606,-1703.0219780219777,-24250.67032967033,-7371.2967032967035,52.931549072265625
2018-09-13,13666.802197802197,18637.725274725275,-1779.3736263736264,-24152.395604395606,-7294.043956043955,54.21012115478516
2018-09-14,13695.439560439561,18693.054945054944,-1855.725274725275,-24054.120879120877,-7216.791208791208,53.59477615356445
2018-09-17,13781.351648351649,18859.043956043955,-2084.7802197802193,-23759.296703296703,-6985.032967032967,52.16775894165039
2018-09-18,13809.989010989011,18914.37362637363,-2161.131868131868,-23661.021978021978,-6907.780219780219,52.25395202636719
2018-09-19,13838.626373626374,18969.703296703297,-2237.4835164835167,-23562.747252747253,-6830.527472527472,52.28508377075195
2018-09-20,13867.263736263736,19025.032967032967,-2313.8351648351645,-23464.472527472528,-6753.274725274725,52.68252944946289
2018-09-21,13895.901098901099,19080.36263736264,-2390.186813186813,-23366.197802197803,-6676.021978021978,52.115081787109375
2018-09-24,13981.813186813186,19246.35164835165,-2619.2417582417584,-23071.37362637363,-6444.263736263736,52.864501953125
2018-09-25,14010.45054945055,19301.68131868132,-2695.593406593406,-22973.0989010989,-6367.010989010989,53.19971466064453
2018-09-26,14039.087912087913,19357.01098901099,-2771.945054945055,-22874.82417582418,-6289.758241758242,52.775909423828125
2018-09-27,14067.725274725275,19412.340659340658,-2848.2967032967035,-22776.54945054945,-6212.505494505494,53.86054611206055
2018-09-28,14096.362637362638,19467.67032967033,-2924.6483516483513,-22678.274725274725,-6135.252747252747,54.04969787597656
2018-10-01,14253.351648351649,19680.516483516483,-2806.6043956043954,-22384.30769230769,-5510.395604395604,54.41363906860352
2018-10-02,14317.527472527472,19759.274725274725,-2709.4065934065934,-22286.46153846154,-5236.593406593407,54.89729690551758
2018-10-03,14381.703296703297,19838.032967032967,-2612.2087912087914,-22188.615384615383,-4962.791208791209,55.565311431884766
2018-10-04,14445.87912087912,19916.79120879121,-2515.010989010989,-22090.76923076923,-4688.989010989011,54.58843994140625
2018-10-05,14510.054945054944,19995.54945054945,-2417.813186813187,-21992.923076923078,-4415.186813186813,53.7025260925293
2018-10-08,14702.582417582418,20231.824175824175,-2126.21978021978,-21699.384615384617,-3593.78021978022,53.57801818847656
2018-10-09,14766.758241758242,20310.582417582416,-2029.021978021978,-21601.53846153846,-3319.9780219780223,54.32025909423828
2018-10-10,14830.934065934067,20389.340659340658,-1931.8241758241757,-21503.69230769231,-3046.1758241758243,51.803810119628906
2018-10-11,14895.10989010989,20468.0989010989,-1834.6263736263736,-21405.846153846152,-2772.3736263736264,51.34649658203125
2018-10-12,14959.285714285714,20546.85714285714,-1737.4285714285713,-21308.0,-2498.571428571429,53.1805534362793
2018-10-15,15151.813186813186,20783.131868131866,-1445.8351648351647,-21014.46153846154,-1677.1648351648355,52.04324722290039
2018-10-16,15215.989010989011,20861.89010989011,-1348.6373626373625,-20916.615384615383,-1403.3626373626375,53.19013595581055
2018-10-17,15280.164835164835,20940.648351648353,-1251.4395604395604,-20818.76923076923,-1129.5604395604396,52.96028518676758
2018-10-18,15344.34065934066,21019.406593406595,-1154.2417582417581,-20720.923076923078,-855.7582417582425,51.722412109375
2018-10-19,15408.516483516483,21098.164835164836,-1057.0439560439559,-20623.076923076922,-581.9560439560446,52.51014709472656
2018-10-22,15601.043956043955,21334.43956043956,-765.4505494505493,-20329.53846153846,239.45054945054926,52.83097839355469
2018-10-23,15665.21978021978,21413.197802197803,-668.2527472527472,-20231.69230769231,513.2527472527472,53.32900238037109
2018-10-24,15729.395604395604,21491.956043956045,-571.0549450549447,-20133.846153846152,787.0549450549443,51.49973678588867
2018-10-25,15793.571428571428,21570.714285714286,-473.85714285714266,-20036.0,1060.8571428571422,52.627471923828125
2018-10-26,15857.747252747253,21649.472527472528,-376.6593406593406,-19938.153846153848,1334.6593406593402,51.78945159912109
2018-10-29,16050.274725274725,21885.747252747253,-85.06593406593402,-19644.615384615383,2156.065934065933,50.81735229492188
2018-10-30,16114.45054945055,21964.505494505494,12.131868131868487,-19546.76923076923,2429.868131868132,51.07114028930664
2018-10-31,16178.626373626374,22043.263736263736,109.32967032967053,-19448.923076923078,2703.670329670329,52.40239715576172
2018-11-01,16242.802197802197,22122.021978021978,206.52747252747258,-19351.076923076922,2977.472527472526,53.20690155029297
2018-11-02,16306.978021978022,22200.78021978022,303.7252747252751,-19253.23076923077,3251.274725274725,49.677642822265625
2018-11-05,16499.505494505494,22437.054945054944,595.3186813186817,-18959.69230769231,4072.681318681318,48.267372131347656
2018-11-06,16563.68131868132,22515.813186813186,692.5164835164837,-18861.846153846156,4346.483516483515,48.78934097290039
2018-11-07,16627.85714285714,22594.571428571428,789.7142857142858,-18764.0,4620.285714285714,50.26905059814453
2018-11-08,16692.032967032967,22673.32967032967,886.9120879120883,-18666.153846153848,4894.087912087911,50.09365081787109
