Date,Cash & Cash Equivalents,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Debt,Adj Close
2018-12-27,244860.6043956044,140619.45054945056,232923.85714285713,373543.3076923077,108451.04395604396,147436.41758241758,255887.46153846153,114724.57142857143,37.51797866821289
2018-12-28,244947.8021978022,140723.72527472526,232907.42857142858,373631.1538461539,108367.02197802198,147490.2087912088,255857.23076923078,114727.28571428571,37.53720474243164
2018-12-31,244603.7032967033,140443.78021978022,232578.05494505496,373021.83516483515,107964.07692307692,147430.1978021978,255394.27472527474,114683.84615384616,37.90000534057617
2019-01-02,244172.4065934066,140059.56043956045,232265.1098901099,372324.6703296703,107645.15384615384,147316.3956043956,254961.54945054944,114637.69230769231,37.94326019287109
2019-01-03,243956.75824175825,139867.45054945056,232108.63736263735,371976.0879120879,107485.69230769231,147259.4945054945,254745.18681318683,114614.61538461539,34.16382598876953
2019-01-04,243741.1098901099,139675.34065934067,231952.16483516485,371627.5054945055,107326.23076923077,147202.5934065934,254528.82417582418,114591.53846153847,35.62225341796875
2019-01-07,243094.16483516485,139099.010989011,231482.74725274724,370581.7582417582,106847.84615384616,147031.8901098901,253879.73626373627,114522.30769230769,35.54297637939453
2019-01-08,242878.5164835165,138906.9010989011,231326.27472527474,370233.1758241758,106688.38461538461,146974.989010989,253663.37362637362,114499.23076923077,36.22053146362305
2019-01-09,242662.86813186813,138714.7912087912,231169.8021978022,369884.5934065934,106528.92307692308,146918.0879120879,253447.01098901097,114476.15384615384,36.83562088012695
2019-01-10,242447.21978021978,138522.6813186813,231013.32967032967,369536.010989011,106369.46153846153,146861.18681318683,253230.64835164836,114453.07692307692,36.95333862304688
2019-01-11,242231.57142857142,138330.57142857142,230856.85714285713,369187.4285714286,106210.0,146804.2857142857,253014.2857142857,114430.0,36.59054565429688
2019-01-14,241584.62637362638,137754.24175824175,230387.43956043955,368141.68131868134,105731.61538461539,146633.58241758242,252365.1978021978,114360.76923076923,36.040321350097656
2019-01-15,241368.97802197802,137562.13186813187,230230.96703296702,367793.0989010989,105572.15384615384,146576.6813186813,252148.83516483515,114337.69230769231,36.77794647216797
2019-01-16,241153.32967032967,137370.02197802198,230074.4945054945,367444.5164835165,105412.69230769231,146519.78021978022,251932.47252747254,114314.61538461539,37.22725296020508
2019-01-17,240937.6813186813,137177.9120879121,229918.02197802198,367095.93406593404,105253.23076923077,146462.8791208791,251716.1098901099,114291.53846153847,37.44829940795898
2019-01-18,240722.03296703298,136985.8021978022,229761.54945054944,366747.35164835164,105093.76923076923,146405.97802197802,251499.74725274724,114268.46153846153,37.678955078125
2019-01-22,239859.43956043955,136217.36263736265,229135.65934065933,365353.02197802195,104455.92307692308,146178.37362637362,250634.2967032967,114176.15384615384,36.83320617675781
2019-01-23,239643.7912087912,136025.25274725276,228979.18681318683,365004.43956043955,104296.46153846153,146121.47252747254,250417.93406593407,114153.07692307692,36.982181549072266
2019-01-24,239428.14285714287,135833.14285714287,228822.7142857143,364655.85714285716,104137.0,146064.57142857142,250201.57142857142,114130.0,36.689056396484375
2019-01-25,239212.4945054945,135641.03296703298,228666.24175824175,364307.2747252747,103977.53846153847,146007.67032967033,249985.2087912088,114106.92307692308,37.90481185913086
2019-01-28,238565.54945054944,135064.7032967033,228196.82417582418,363261.52747252746,103499.15384615384,145836.96703296702,249336.1208791209,114037.69230769231,37.55402374267578
2019-01-29,238349.9010989011,134872.5934065934,228040.35164835164,362912.94505494507,103339.69230769231,145780.06593406593,249119.75824175825,114014.61538461539,37.16477966308594
2019-01-30,238134.25274725276,134680.4835164835,227883.8791208791,362564.3626373626,103180.23076923077,145723.16483516485,248903.3956043956,113991.53846153847,39.70442962646485
2019-01-31,237918.6043956044,134488.37362637362,227727.4065934066,362215.7802197802,103020.76923076923,145666.26373626373,248687.03296703298,113968.46153846153,39.9903450012207
2019-02-01,237702.95604395604,134296.26373626373,227570.93406593407,361867.1978021978,102861.30769230769,145609.36263736265,248470.67032967033,113945.38461538461,40.00957107543945
2019-02-04,237056.01098901097,133719.93406593407,227101.5164835165,360821.4505494505,102382.92307692308,145438.65934065933,247821.58241758242,113876.15384615384,41.14604949951172
2019-02-05,236840.36263736265,133527.82417582418,226945.04395604396,360472.86813186813,102223.46153846153,145381.75824175825,247605.21978021978,113853.07692307692,41.85002517700195
2019-02-06,236624.7142857143,133335.7142857143,226788.57142857142,360124.28571428574,102064.0,145324.85714285713,247388.85714285713,113830.0,41.864444732666016
2019-02-07,236409.06593406593,133143.6043956044,226632.0989010989,359775.7032967033,101904.53846153847,145267.95604395604,247172.4945054945,113806.92307692308,41.07155227661133
2019-02-08,236193.41758241758,132951.4945054945,226475.62637362638,359427.1208791209,101745.07692307692,145211.05494505496,246956.13186813187,113783.84615384616,41.11981201171875
2019-02-11,235546.47252747254,132375.16483516485,226006.2087912088,358381.37362637365,101266.69230769231,145040.35164835164,246307.04395604396,113714.61538461539,40.883338928222656
2019-02-12,235330.82417582418,132183.05494505496,225849.73626373627,358032.7912087912,101107.23076923077,144983.45054945056,246090.6813186813,113691.53846153847,41.23563766479492
2019-02-13,235115.17582417582,131990.94505494507,225693.26373626373,357684.2087912088,100947.76923076923,144926.54945054944,245874.3186813187,113668.46153846153,41.06431579589844
2019-02-14,234899.52747252746,131798.83516483515,225536.7912087912,357335.62637362635,100788.30769230769,144869.64835164836,245657.95604395604,113645.38461538461,41.21392440795898
2019-02-15,234683.8791208791,131606.72527472526,225380.3186813187,356987.04395604396,100628.84615384616,144812.74725274724,245441.5934065934,113622.30769230769,41.12221908569336
2019-02-19,233821.2857142857,130838.28571428571,224754.42857142858,355592.71428571426,99991.0,144585.14285714287,244576.14285714287,113530.0,41.24529266357422
2019-02-20,233605.63736263735,130646.17582417582,224597.95604395604,355244.13186813187,99831.53846153847,144528.24175824175,244359.78021978022,113506.92307692308,41.510719299316406
2019-02-21,233389.98901098903,130454.06593406593,224441.4835164835,354895.5494505495,99672.07692307692,144471.34065934067,244143.41758241758,113483.84615384616,41.27665328979492
2019-02-22,233174.34065934067,130261.95604395604,224285.01098901097,354546.967032967,99512.61538461539,144414.43956043955,243927.05494505493,113460.76923076923,41.73754119873047
2019-02-25,232527.3956043956,129685.62637362638,223815.5934065934,353501.2197802198,99034.23076923077,144243.73626373627,243277.96703296702,113391.53846153847,42.04157638549805
2019-02-26,232311.74725274724,129493.51648351649,223659.1208791209,353152.6373626374,98874.76923076923,144186.83516483515,243061.6043956044,113368.46153846153,42.06570816040039
2019-02-27,232096.0989010989,129301.4065934066,223502.64835164836,352804.05494505493,98715.30769230769,144129.93406593407,242845.24175824175,113345.38461538461,42.19600296020508
2019-02-28,231880.45054945056,129109.2967032967,223346.17582417582,352455.47252747254,98555.84615384616,144073.03296703298,242628.8791208791,113322.30769230769,41.78097534179688
2019-03-01,231664.8021978022,128917.18681318681,223189.7032967033,352106.89010989014,98396.38461538461,144016.13186813187,242412.5164835165,113299.23076923077,42.22014236450195
2019-03-04,231017.85714285713,128340.85714285714,222720.2857142857,351061.14285714284,97918.0,143845.42857142858,241763.42857142858,113230.0,42.43247985839844
2019-03-05,230802.2087912088,128148.74725274726,222563.81318681317,350712.56043956045,97758.53846153847,143788.52747252746,241547.06593406593,113206.92307692308,42.35526657104492
2019-03-06,230586.56043956045,127956.63736263737,222407.34065934067,350363.97802197805,97599.07692307692,143731.62637362638,241330.7032967033,113183.84615384616,42.1115608215332
2019-03-07,230370.9120879121,127764.52747252746,222250.86813186813,350015.3956043956,97439.61538461539,143674.72527472526,241114.34065934067,113160.76923076923,41.6241340637207
2019-03-08,230155.26373626373,127572.41758241758,222094.3956043956,349666.8131868132,97280.15384615384,143617.82417582418,240897.97802197802,113137.69230769231,41.72306823730469
2019-03-11,229508.3186813187,126996.08791208791,221624.97802197802,348621.06593406596,96801.76923076923,143447.1208791209,240248.8901098901,113068.46153846153,43.1684455871582
2019-03-12,229292.67032967033,126803.97802197802,221468.5054945055,348272.4835164835,96642.30769230769,143390.21978021978,240032.52747252746,113045.38461538461,43.65346145629883
2019-03-13,229077.02197802198,126611.86813186813,221312.03296703298,347923.9010989011,96482.84615384616,143333.3186813187,239816.16483516485,113022.30769230769,43.84650039672852
2019-03-14,228861.37362637362,126419.75824175825,221155.56043956045,347575.31868131866,96323.38461538461,143276.41758241758,239599.8021978022,112999.23076923077,44.33392333984375
2019-03-15,228645.72527472526,126227.64835164836,220999.0879120879,347226.73626373627,96163.92307692308,143219.5164835165,239383.43956043955,112976.15384615384,44.91062927246094
2019-03-18,227998.78021978022,125651.31868131868,220529.67032967033,346180.989010989,95685.53846153847,143048.81318681317,238734.35164835164,112906.92307692308,45.36909866333008
2019-03-19,227783.13186813187,125459.20879120879,220373.1978021978,345832.4065934066,95526.07692307692,142991.9120879121,238517.98901098903,112883.84615384616,45.009552001953125
2019-03-20,227567.4835164835,125267.0989010989,220216.72527472526,345483.8241758242,95366.61538461539,142935.01098901097,238301.62637362638,112860.76923076923,45.402870178222656
2019-03-21,227351.83516483515,125074.98901098901,220060.25274725276,345135.2417582418,95207.15384615384,142878.1098901099,238085.26373626373,112837.69230769231,47.07508087158203
2019-03-22,227136.18681318683,124882.87912087912,219903.78021978022,344786.65934065933,95047.69230769231,142821.2087912088,237868.9010989011,112814.61538461539,46.1002311706543
2019-03-25,226489.24175824175,124306.54945054944,219434.36263736265,343740.9120879121,94569.30769230769,142650.5054945055,237219.81318681317,112745.38461538461,45.5428352355957
